"Group","Scenario","Values","lower95","upper95"
"RCP2.6_MFM","noAFM",191.491117354999,0,0
"RCP2.6_SFM","noAFM",191.487310253126,0,0
"REF_MFM","noAFM",165.656794048798,0,0
"REF_SFM","noAFM",165.766415278351,0,0
"RCP2.6_MFM","AFMfree",191.141670940235,0,0
"RCP2.6_SFM","AFMfree",190.111635522287,0,0
"REF_MFM","AFMfree",165.39039503373,0,0
"REF_SFM","AFMfree",160.206822081949,0,0
"RCP2.6_MFM","AFM25",192.108183100953,0,0
"RCP2.6_SFM","AFM25",175.072002418688,0,0
"REF_MFM","AFM25",165.686567878539,0,0
"REF_SFM","AFM25",147.10785938802,0,0
"RCP2.6_MFM","AFM50",192.034111229004,0,0
"RCP2.6_SFM","AFM50",159.116714706556,0,0
"REF_MFM","AFM50",165.949408059279,0,0
"REF_SFM","AFM50",131.961367564962,0,0
"RCP2.6_MFM","AFM75",192.644674903719,0,0
"RCP2.6_SFM","AFM75",141.832569451667,0,0
"REF_MFM","AFM75",165.837455980265,0,0
"REF_SFM","AFM75",115.998881601297,0,0
"RCP2.6_MFM","AFM100",192.542877405676,0,0
"RCP2.6_SFM","AFM100",124.788400388763,0,0
"REF_MFM","AFM100",166.177849119673,0,0
"REF_SFM","AFM100",99.1565808419639,0,0
