"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.0297401265903391,0,0
"RCP2.6_SFM","noAFM",0.0298784805990492,0,0
"REF_MFM","noAFM",0.0144016875246932,0,0
"REF_SFM","noAFM",0.014660803669043,0,0
"RCP2.6_MFM","AFMfree",0.0249915955505584,0,0
"RCP2.6_SFM","AFMfree",0.024615458473998,0,0
"REF_MFM","AFMfree",0.0108186995282206,0,0
"REF_SFM","AFMfree",0.0110587346939708,0,0
"RCP2.6_MFM","AFM25",0.0260798434420921,0,0
"RCP2.6_SFM","AFM25",0.0298203755125226,0,0
"REF_MFM","AFM25",0.0110370024155255,0,0
"REF_SFM","AFM25",0.0123157179876725,0,0
"RCP2.6_MFM","AFM50",0.0279413798403425,0,0
"RCP2.6_SFM","AFM50",0.037763361449552,0,0
"REF_MFM","AFM50",0.0115096303198094,0,0
"REF_SFM","AFM50",0.0181101871399357,0,0
"RCP2.6_MFM","AFM75",0.0312904497702969,0,0
"RCP2.6_SFM","AFM75",0.0421721312472322,0,0
"REF_MFM","AFM75",0.0134317527977664,0,0
"REF_SFM","AFM75",0.0236855156075223,0,0
"RCP2.6_MFM","AFM100",0.0330891495410621,0,0
"RCP2.6_SFM","AFM100",0.0485850557218927,0,0
"REF_MFM","AFM100",0.0154272867046527,0,0
"REF_SFM","AFM100",0.0312478360896143,0,0
