Group,Scenario,PDFx100,lower95,upper95,cutoff,
RCP2.6_MFM,noAFM,0.021341579,0,0,0.064501922,67%
RCP2.6_SFM,noAFM,0.02134036,0,0,0.064503847,67%
REF_MFM,noAFM,-0.019062174,0,0,0.027965265,168%
REF_SFM,noAFM,-0.019034042,0,0,0.027986408,168%
RCP2.6_MFM,AFM25,0.012214187,0,0,0.056554684,78%
RCP2.6_SFM,AFM25,0.017934458,0,0,0.056778328,68%
REF_MFM,AFM25,-0.021477822,0,0,0.024624169,187%
REF_SFM,AFM25,-0.013065466,0,0,0.025656837,151%
RCP2.6_MFM,AFM50,0.011171566,0,0,0.055155991,80%
RCP2.6_SFM,AFM50,0.022116187,0,0,0.055411943,60%
REF_MFM,AFM50,-0.02025241,0,0,0.024233763,184%
REF_SFM,AFM50,-0.010262745,0,0,0.024041943,143%
RCP2.6_MFM,AFM75,0.010875193,0,0,0.05412604,80%
RCP2.6_SFM,AFM75,0.026571461,0,0,0.053650196,50%
REF_MFM,AFM75,-0.020520346,0,0,0.022965398,189%
REF_SFM,AFM75,-0.008341392,0,0,0.021554395,139%
RCP2.6_MFM,AFM100,0.010967795,0,0,0.052670933,79%
RCP2.6_SFM,AFM100,0.031982528,0,0,0.052148256,39%
REF_MFM,AFM100,-0.020327085,0,0,0.021715639,194%
REF_SFM,AFM100,-0.003831891,0,0,0.019494475,120%
