"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",10.7271302411229,0,0,"2020"
"REF",10.7269669363135,0,0,"2020"
"RCP2.6",10.6120694607275,0,0,"2030"
"REF",11.1510041269141,0,0,"2030"
"RCP2.6",10.6324694957859,0,0,"2040"
"REF",11.4858284143432,0,0,"2040"
"RCP2.6",10.6130506206501,0,0,"2050"
"REF",11.740749559133,0,0,"2050"
"RCP2.6",10.5561863714364,0,0,"2060"
"REF",11.9722873800939,0,0,"2060"
"RCP2.6",10.5471013000889,0,0,"2070"
"REF",12.117188284621,0,0,"2070"
"RCP2.6",10.5615459532151,0,0,"2080"
"REF",12.1866192400105,0,0,"2080"
"RCP2.6",10.5206683808578,0,0,"2090"
"REF",12.241037427591,0,0,"2090"
"RCP2.6",10.336167612058,0,0,"2100"
"REF",12.2680135247197,0,0,"2100"
