Country,Mitigation_scenario,Forest_use,Management_scenario,2020,Category
Austria,REF,MFM,noAF,6.195622512,Wood_forest_im
Belgium,REF,MFM,noAF,9.396567808,Wood_forest_im
Bulgaria,REF,MFM,noAF,0.529303712,Wood_forest_im
Croatia,REF,MFM,noAF,0.74883923,Wood_forest_im
Cyprus,REF,MFM,noAF,0.237661851,Wood_forest_im
CzechRep,REF,MFM,noAF,1.243816559,Wood_forest_im
Denmark,REF,MFM,noAF,5.381320296,Wood_forest_im
Estonia,REF,MFM,noAF,4.534262235,Wood_forest_im
Finland,REF,MFM,noAF,10.26421612,Wood_forest_im
France,REF,MFM,noAF,17.94735841,Wood_forest_im
Germany,REF,MFM,noAF,12.83715573,Wood_forest_im
Greece,REF,MFM,noAF,3.08311282,Wood_forest_im
Hungary,REF,MFM,noAF,1.661618256,Wood_forest_im
Ireland,REF,MFM,noAF,1.625156058,Wood_forest_im
Italy,REF,MFM,noAF,30.44895024,Wood_forest_im
Latvia,REF,MFM,noAF,6.216788422,Wood_forest_im
Lithuania,REF,MFM,noAF,0.692331389,Wood_forest_im
Luxembourg,REF,MFM,noAF,0.560366306,Wood_forest_im
Malta,REF,MFM,noAF,0.077549404,Wood_forest_im
Netherlands,REF,MFM,noAF,6.63469534,Wood_forest_im
Poland,REF,MFM,noAF,2.567279934,Wood_forest_im
Portugal,REF,MFM,noAF,2.015587697,Wood_forest_im
Romania,REF,MFM,noAF,0.860695802,Wood_forest_im
Slovakia,REF,MFM,noAF,1.312673787,Wood_forest_im
Slovenia,REF,MFM,noAF,1.129431738,Wood_forest_im
Spain,REF,MFM,noAF,7.174892471,Wood_forest_im
Sweden,REF,MFM,noAF,8.472284518,Wood_forest_im
UK,REF,MFM,noAF,37.0617471,Wood_forest_im
EU28,REF,MFM,noAF,136.784203,Wood_forest_im
Belgium,REF,MFM,noAF,0.006418844,Wood_EP_im
Cyprus,REF,MFM,noAF,0,Wood_EP_im
CzechRep,REF,MFM,noAF,0,Wood_EP_im
Denmark,REF,MFM,noAF,0.009904168,Wood_EP_im
France,REF,MFM,noAF,0,Wood_EP_im
Greece,REF,MFM,noAF,0.000717706,Wood_EP_im
Ireland,REF,MFM,noAF,0.000369792,Wood_EP_im
Italy,REF,MFM,noAF,0.016876115,Wood_EP_im
Malta,REF,MFM,noAF,0,Wood_EP_im
Netherlands,REF,MFM,noAF,0.008726571,Wood_EP_im
Poland,REF,MFM,noAF,0.000745278,Wood_EP_im
Slovenia,REF,MFM,noAF,0.00032499,Wood_EP_im
Sweden,REF,MFM,noAF,0.005203335,Wood_EP_im
UK,REF,MFM,noAF,0.010245968,Wood_EP_im
EU28,REF,MFM,noAF,0.059532767,Wood_EP_im
Belgium,REF,MFM,noAF,2.234172502,Wood_Byproducts
Cyprus,REF,MFM,noAF,0,Wood_Byproducts
CzechRep,REF,MFM,noAF,0,Wood_Byproducts
Denmark,REF,MFM,noAF,3.447290369,Wood_Byproducts
France,REF,MFM,noAF,0,Wood_Byproducts
Greece,REF,MFM,noAF,0.249808067,Wood_Byproducts
Ireland,REF,MFM,noAF,0.128711517,Wood_Byproducts
Italy,REF,MFM,noAF,5.873978278,Wood_Byproducts
Malta,REF,MFM,noAF,0,Wood_Byproducts
Netherlands,REF,MFM,noAF,3.037410379,Wood_Byproducts
Poland,REF,MFM,noAF,0.259404722,Wood_Byproducts
Slovenia,REF,MFM,noAF,0.113117681,Wood_Byproducts
Sweden,REF,MFM,noAF,1.811096717,Wood_Byproducts
UK,REF,MFM,noAF,3.566258691,Wood_Byproducts
EU28,REF,MFM,noAF,20.72124892,Wood_Byproducts
